;id;Website;Article_URL;Headline;Claim_Date;Review_Date;Query/Keyword;Label_Website;Image_URL;Original_Claim_Only;Context/Label_Explanation;Text_Only_Claim;Normal_Image;AI_Generated_Image;Altered_Image
26;26;misbar.com;https://www.misbar.com/en/factcheck/2025/02/06/ben-stiller-denies-usaid-funding-claims-ukraine-trip;Ben Stiller Denies USAID Funding Claims for Ukraine Trip;2025-02-06T19:11:35Z;2025-02-06T19:11:35Z;Ukraine;fake;https://web.archive.org/web/20250708174656/https://assets.misbar.com/styles/large_870x490/public/images/2025-02/gjdeq0wbwaalt17.jpg.webp?itok=qKe9BPgb;Ben Stiller received $4 million from USAID for his photographs with Ukrainian President Volodymyr Zelensky.;"Misbar investigated the circulating claim and found the claim to be fake; Ben Stiller has publicly denied these allegations, stating that he completely self-funded his trip and received no payment from USAID. Stiller met with Volodymyr Zelensky in Kyiv as part of his role as an ambassador for the United Nations Refugee Agency (UNHCR) in 2022. In response to the circulating video, Stiller took to X to refute the claims, stating, ""These are lies coming from Russian media. I completely self-funded my humanitarian trip to Ukraine. There was no funding from USAID and certainly no payment of any kind. 100% false."" Furthermore, there is no evidence to support that E! News posted that video.";FALSE;TRUE;FALSE;FALSE
27;27;checkyourfact.com;https://checkyourfact.com/2025/02/05/fact-check-trump-criticize-starmer-deal-uk-ukraine/;FACT CHECK: No, Donald Trump Did Not Criticize Keir Starmer Over A 100-Year Deal Between The UK And Ukraine;2025-01-21T00:00:00Z;2025-02-05T16:49:10Z;Ukraine;FALSE;;claims Trump purportedly criticized British PM Keir Starmer over a 100-year deal between the U.K. and Ukraine;The claim is false. While Trump did sit down with Von for an interview back in August 2024, he did not mention Starmer or the U.K.’s 100-year deal with Zelenskyy. Likewise, Trump does not appear to have publicly referenced the claim via his personal or government X accounts, his TRUTH Social account, or his verified social media accounts. In addition, neither Starmer nor Zelenskyy have commented on the claim.;TRUE;FALSE;FALSE;FALSE
29;29;newsweek.com;https://www.newsweek.com/fact-check-does-zelensky-have-four-percent-approval-rating-2033424;Fact Check: Does Zelensky Have a 4% Approval Rating?;2025-02-19T21:12:38Z;2025-02-19T21:12:38Z;Ukraine;FALSE;;Donald Trump alleged Volodymyr Zelensky has low approval ratings;According to a recent survey by the Kyiv International Institute of Sociology (KIIS) published in early February, 57 percent of Ukrainians said they trust Zelensky. The rating marks a slight increase from the KIIS's December 2024 polls, conducted before Trump's return to the presidency, that showed 52 percent trust in Zelensky. In addition, 69 percent of Ukrainians approve of Zelensky's actions, according to an October 2024 poll published by the International Republican Institute.;TRUE;FALSE;FALSE;FALSE
33;33;checkyourfact.com;https://checkyourfact.com/2025/01/16/fact-check-no-eight-mansions-belonging-to-ukrainian-military-officials-did-not-burn-down-in-la/;FACT CHECK: No, Eight Mansions Belonging To Ukrainian Military Officials Did Not Burn Down In LA;2025-01-11T00:00:00Z;2025-01-16T16:18:40Z;Ukraine;FALSE;;A post shared on X claims eight mansions belonging to Ukrainian military officials burned down in Los Angeles, California.; There is no evidence of this claim. If eight mansions belonging to Ukrainian military officials burned down, media outlets would have covered it, yet none have. A wider internet search also did not yield any results for this claim, either. ”;TRUE;FALSE;FALSE;FALSE
35;35;checkyourfact.com;https://checkyourfact.com/2025/01/09/fact-check-ukraine-list-politicians-bribes/;FACT CHECK: No, Ukraine Didn’t Release List Of Politicians Taking Bribes;2024-12-19T00:00:00Z;2025-01-09T14:37:08Z;Ukraine;FALSE;https://web.archive.org/web/20250116235353/https://f.ptcdn.info/927/081/000/s273jd2al8eVVUlCAaakl-o.png;A post shared on Threads claims to show Ukraine releasing a list of politicians, such as President Joe Biden, taking bribes.;This claim is false. No media outlets have reported on Ukrainian officials releasing any such list. A wider internet search also did not yield any results for this claim. The Dispatch Fact Check also reported that this claim appears to have originated from an October 2023 Thai-language website and then spread to various social media platforms such as X. An expert told the Dispatch that the claim was “absolutely nonsensical. “There’s no credible sources whatsoever, anywhere, in any contexts that show that Ukraine is making these sorts of payments,” Ian Garner, an assistant professor at the Pilecki Institute, told The Dispatch Fact Check.”;FALSE;FALSE;FALSE;TRUE
40;40;checkyourfact.com;https://checkyourfact.com/2024/11/13/fact-check-elon-musk-didnt-post-last-dollar-for-zelenskyy/;FACT CHECK: Elon Musk Didn’t Post ‘Last Dollar’ For Zelenskyy;2024-11-08T00:00:00Z;2024-11-13T16:41:03Z;Ukraine;FALSE;https://web.archive.org/web/20250708180101/https://scontent-arn2-1.xx.fbcdn.net/v/t39.30808-6/505036692_4125956231017504_858135731129961155_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=YkSKYqh473YQ7kNvwG_L5K9&_nc_oc=AdndkjWdFBxAswOybwTvT5tpEldRuo9xh_-A-h3KUvpnTXAwCcB0aCQtA9w0_klHjGg&_nc_zt=23&_nc_ht=scontent-arn2-1.xx&_nc_gid=-7Ij-yZtpiNQzgMT8_e9zg&oh=00_AfRI_l6fJQGSk3iSDgYGlhxhpucuLdY0YU4Sc0DWsdKQ3w&oe=6873428D;"A post shared on Facebook claims billionaire Elon Musk posted a ""last dollar"" for Ukrainian President Volodymyr Zelenskyy.";These claims are false. If he had done so, media outlets would have covered it, yet none have. A wider internet search and a review of Musk’s X account did not yield any results for this claim. The Ukrainian National Defense and Security Council’s Center for Countering Disinformation refuted the claim in a Nov. 6 tweet.;FALSE;FALSE;FALSE;TRUE
64;64;rappler.com;https://www.rappler.com/newsbreak/fact-check/vladimir-putin-alive-not-dead-moscow-limousine-explosion/;FACT CHECK: Putin is alive, not killed in Moscow limo explosion;2025-04-17T06:49:48Z;2025-04-17T06:49:48Z;Russia;FALSE;;Russian President Vladimir Putin has died in an explosion in one of his limousines.;Putin is alive. On April 11, Putin met US envoy Steve Winkoff in Saint Petersburg to discuss “various aspects of the Ukrainian settlement.” The Kremlin leader also recently met Russian nationals who were freed following their captivity in the Gaza strip. A Newsweek report stated that an Aurus Senat limousine, reportedly managed by the Presidential Property Management Department, caught fire near the Federal Security Service headquarters in the Russian capital of Moscow on March 29. There are currently no confirmed details about who was using the vehicle at the time of the explosion.;TRUE;FALSE;FALSE;FALSE
67;67;misbar.com;https://www.misbar.com/en/factcheck/2025/03/23/old-photo-misrepresented-recent-us-mq-9-drone-wreckage-yemen;Old Photo Misrepresented as Recent U.S. MQ-9 Drone Wreckage in Yemen;2025-03-22T21:12:56Z;2025-03-22T21:12:56Z;Russia;misleading;https://web.archive.org/web/20250708175730/https://assets.misbar.com/styles/large_870x490/public/071098cd4a84b4ec9cbdc82b01279566b81dc4c1.jpg.webp?itok=ZgEl-_E3;Photo of the US drone shot down by Russian missiles in the hands of the Houthis.;Outdated Photo Shows Aftermath of Gaza Rockets on Israel. Contrary to social media users’ claim, the photo is not related to recent Yemen-Israel reciprocal attacks. The photo was uploaded to the Times of Israel in October 2023. According to the photo's caption, it depicts a rocket fired from Gaza hitting Ashkelon in southern Israel on October 7, 2023. Photographer Edi Israel took the photo on October 7, 2023, for Flash90. The same photo was also published in a released article in the Australian Jewish News on October 12. The photo’s provided caption indicates that the photo was shot in Ashkelon, not Tel Aviv, on October 7, 2023.;FALSE;TRUE;FALSE;FALSE
68;68;checkyourfact.com;https://checkyourfact.com/2025/03/19/fact-check-tulsi-trump-putin-good-friends/;FACT CHECK: Did Tulsi Gabbard Say Trump And Putin Were Good Friends?;2025-03-17T00:00:00Z;2025-03-19T15:40:53Z;Russia;FALSE;;A post shared on X claims Director of National Intelligence (DNI) Tulsi Gabbard said that President Donald Trump and Russian President Vladimir Putin were good friends.;This claim is false. Gabbard was talking about Modi being friends with Trump, not Putin. She made these remarks during an interview with NDTV. While some outlets reported that she was talking about Trump and Putin, others corrected it. For example, the Associated Press withdrew their story. “The Associated Press has withdrawn its story about U.S. Director of National Intelligence Tulsi Gabbard saying President Donald Trump and Russian President Vladimir Putin ‘are very good friends.’ Gabbard was talking about Trump and Indian Prime Minister Narendra Modi. The AP will publish a corrected version of the story,” reads the AP’s withdrawal notice. Alexa Henning, the deputy chief of staff for Gabbard, called out the incorrect reporting via a post on X.;TRUE;FALSE;FALSE;FALSE
73;73;misbar.com;https://www.misbar.com/en/factcheck/2025/02/27/macron-did-not-call-putin-butcher-his-press-conference-trump;Macron Did Not Call Putin a Butcher in His Press Conference With Trump;2025-02-27T17:06:56Z;2025-02-27T17:06:56Z;Russia;misleading;;French President Emmanuel Macron called Russian President Vladimir Putin a “butcher” during his press conference with Donald Trump on Monday, Feb. 24, 2025.; Users Misunderstood Macron’s Reference to the Bucha Massacre Misbar’s team reviewed the viral video some users shared supporting their claim and found that Macron was referring to the Bucha massacre During the press conference, a journalist asked the French president what he would advise Trump to ensure strong and enduring negotiations with Putin, considering that Macron was the last leader to meet Putin before Ukraine’s invasion. In his French accent, Macron replied that he would never offer advice to Trump. He added that he ceased his discussions with Putin “after Bucha and the war crimes,” explaining that, at the time, Macron believed that France “had nothing to get from him.” In the press conference clip, published by several outlets including CTV News, the word “Bucha” is clearly audible in Macron’s French accent, not “butcher.”;TRUE;FALSE;FALSE;FALSE
75;75;newsweek.com;https://www.newsweek.com/fact-check-did-jd-vance-say-us-military-action-available-against-russia-2032348;Fact Check: Did JD Vance Say US 'Military Action' Available Against Russia?;2025-02-18T13:15:37Z;2025-02-18T13:15:37Z;Russia;TRUE;;"Did JD Vance say US ""military action"" available against Russia?";"In an interview with The Wall Street Journal published on February 14, Vance was asked about security guarantees the U.S. could provide Ukraine as part of a peace settlement with Russia, and what ""instruments of pressure"" could ensure Moscow's cooperation. In his response, Vance mentioned ""military tools of leverage"" among a ""range of options."" ""I think certainly, look, there, there are instruments of pressure, absolutely. And again, if you look at President Trump's approach to this, he—the range of options is extremely broad,"" Vance said.”";TRUE;FALSE;FALSE;FALSE
78;78;rappler.com;https://www.rappler.com/newsbreak/fact-check/no-russia-invasion-china-japan-february-2025/;FACT CHECK: No invasion of Russia by China and Japan;2025-02-10T08:47:10Z;2025-02-10T08:47:10Z;Russia;FALSE;;China and Japan plan to invade the Russian Federation; There are no reports from the foreign affairs and defense ministries of China and the foreign affairs and defense ministries of Japan about a supposed joint invasion of Russia. The video is a mere discussion of the geopolitical situation between China, Japan, the United States, and Russia. It provides no further mention nor proof of its claim. ;TRUE;FALSE;FALSE;FALSE
84;84;newsweek.com;https://www.newsweek.com/fact-check-has-russia-offered-assistance-california-wildfire-disaster-2014213;Fact Check: Has Russia Offered Assistance to California Wildfire Disaster?;2025-01-21T20:16:12Z;2025-01-21T20:16:12Z;Russia;Unverified;;Has Russia offered assistance to California wildfire disaster?; Newsweek has not found any statement from Russian officials offering support to California. There are no official public statements from Sergey Shchetinin, named on Russian government websites as the Chairman of the Executive Committee of the Russian Union of Rescuers, under the Russian Emergencies Ministry.”;TRUE;FALSE;FALSE;FALSE
85;85;usatoday.com;https://www.usatoday.com/story/news/factcheck/2025/01/16/adam-schiff-senate-committees-fact-check/77718124007/;No, Adam Schiff wasn’t blocked from Senate committees | Fact check;2025-01-11T00:00:00Z;2025-01-16T16:11:16Z;Russia;FALSE;;John Thune blocked Adam Schiff's assignments over Russia investigation; There is no evidence Senate Majority Leader John Thune blocked Sen. Adam Schiff from any committee assignments. Schiff is listed as a member of four Senate committees, and a spokesperson for Schiff said the claim is false.;TRUE;FALSE;FALSE;FALSE
89;89;checkyourfact.com;https://checkyourfact.com/2025/01/08/fact-check-assad-passport-fake/;FACT CHECK: Assad Passport Image Is Fake | Check Your Fact;2024-12-19T00:00:00Z;2025-01-08T14:01:22Z;Russia;FALSE;https://web.archive.org/web/20250708180905/https://pbs.twimg.com/media/GfMBhJaXcAADAym?format=jpg&name=medium;An image shared on X claims to show the Russian passport of deposed Syrian dictator Bashar al-Assad.;This claim is false. Through a reverse image search, Check Your Fact found that the image was photoshopped from an actual passport shared to Wikipedia. The original passport has been photoshopped to include Assad’s face.;FALSE;FALSE;FALSE;TRUE
99;99;rappler.com;https://www.rappler.com/newsbreak/fact-check/russia-did-not-declare-war-united-states/;FACT CHECK: Russia did not declare war on US;2024-12-02T03:41:46Z;2024-12-02T03:41:46Z;Russia;FALSE;;Russian President Vladimir Putin has declared war on the United States.; Russia has not declared war on the US. There are no reports from credible media outlets or government statements confirming the claim. The video merely narrates recent developments in the ongoing conflict between Russia and Ukraine. ;TRUE;FALSE;FALSE;FALSE
110;110;checkyourfact.com;https://checkyourfact.com/2024/10/28/fact-check-did-russia-become-the-fourth-largest-economy-in-the-world/;FACT CHECK: Did Russia Become The Fourth Largest Economy in the World?;2024-10-23T00:00:00Z;2024-10-28T12:48:22Z;Russia;FALSE;;A post on X claims that the IMF has declared Russia the fourth-largest economy in the world.;The claim is lacking context. When adjusted for adjusted for PPP, Russia ranks fourth. The metric, according to Investopedia, is a “macroeconomic analysis metric” that compares economic productivity and standards of living to other countries using currency conversion rates. Russia’s economy appears to be one of the faster-growing economies at the current time. According to IMF reports and other economic forecasts, Russia ranks 11th in nominal GDP. This metric, according to Investopedia, is the measurement of all goods and services produced in a country at a given time period. The metric does not remove inflation or the pace in which prices are moving.”;TRUE;FALSE;FALSE;FALSE
112;112;newsweek.com;https://www.newsweek.com/pete-hegseth-vladimir-putin-war-criminal-1985251;Fact Check: Did Pete Hegseth Call Putin a 'War Criminal?';2024-11-13T17:20:16Z;2024-11-13T17:20:16Z;Russia;Needs Context;;Did Pete Hegseth call Putin a 'war criminal'?;"While Hegseth aligned with the claim that Putin was a ""war criminal,"" the clip shared online was from March 2022 not long after the outbreak of the conflict. Since then Hegseth has been more cautious, and critical of the U.S. intervention in Ukraine and the prognosis from others that Russia's intervention would lead to wider conflict.";TRUE;FALSE;FALSE;FALSE
114;114;checkyourfact.com;https://checkyourfact.com/2024/10/01/fact-check-russian-embassy-image-f-16/;FACT CHECK: Russian Embassy Shares Old Image Of F-16;2024-09-27T00:00:00Z;2024-10-01T17:32:13Z;Russia;FALSE;https://web.archive.org/web/20250123092256/https://pbs.twimg.com/media/GYeOyt9WIAAIJ7T?format=jpg&name=small;The Russian Embassy in South Africa claimed in a Sept. 26 X post to show a downed Ukrainian F-16.;The image of the F-16 is from 2019. It is an American F-16 that crashed. This claim is false. Through a reverse image search, Check Your Fact found that the image is from 2019. The image shows an American F-16 that crashed into a California warehouse in May 2019, according to Air and Space Forces Magazine.;FALSE;TRUE;FALSE;FALSE
115;115;checkyourfact.com;https://checkyourfact.com/2024/09/19/fact-check-small-nuclear-strike-russia/;FACT CHECK: Did A Small Nuclear Strike Hit Russia?;2024-09-18T00:00:00Z;2024-09-19T17:55:06Z;Russia;FALSE;https://web.archive.org/web/20250313135839/https://dims.apnews.com/dims4/default/810a90b/2147483647/strip/true/crop/19000x5594+0+0/resize/1440x424!/format/webp/quality/90/?url=https://assets.apnews.com/26/32/8d546e1d085c24b0665a6f399dce/ce6c62f457764b4ea6b4ccd54e87a2e8;Posts shared on X claims that a North Atlantic Treaty Organization (NATO) strike, possibly nuclear, hit a Russian ammunition depot.;This claim is false. The attack was not from NATO, but a Ukrainian drone strike, according to The Associated Press. A Kyiv security official told the outlet that the attack was carried out by Ukrainian Special Operation Forces, Security Service and Intelligence. At least 100 Ukrainian drones took part in the attack, the outlet reported. The regional governor of Tver told residents they would be able to go back to their homes.;FALSE;TRUE;FALSE;FALSE
125;125;misbar.com;https://www.misbar.com/en/factcheck/2024/08/26/an-old-image-of-ukrainians-circulated-as-american-mercenaries-invading-russiarsquos-kursk-along-with-ukraine;An Old Image of Ukrainians Circulated As American Mercenaries Invading Russia’s Kursk Along With Ukraine;2024-08-26T22:51:13Z;2024-08-26T22:51:13Z;Russia;misleading;https://web.archive.org/web/20250708182706/https://pbs.twimg.com/media/GU1wcUMXAAAfRtb?format=png&name=900x900;American mercenaries exposed invading Russia's Kursk region These low-brainers provided evidence for their crimes before they were cremated.;An Image Of A Ukrainian Solider Taken In Balakliia Through Google Reverse Image, Misbar’s team found that the image was originally posted in 2022 before Ukraine’s incursion into the Kursk region. In September 2022, Ukrainian journalist Denys Kazansky posted the image on his Telegram channel along with the caption, “Balakliia is Ukraine!” suggesting that it was originally captured in Balakelya, a city in eastern Ukraine. The image was posted in 2022 by the Ukrainian journalist Denys Kazanskyi before Ukraine’s incursion into the Kursk region.;FALSE;FALSE;FALSE;TRUE
128;128;misbar.com;https://www.misbar.com/en/factcheck/2024/08/22/joe-biden-updates-nuclear-strategy-no-imminent-nuclear-war-orders-issued;Joe Biden Updates Nuclear Strategy, No Imminent Nuclear War Orders Issued;2024-08-22T07:05:25Z;2024-08-22T07:05:25Z;Russia;excitement;;Biden ordered U.S. forces to prepare for possible nuclear confrontations with Russia, China, and North Korea.; New York Times' Article Misinterpreted The article mentioned that the United States is considering increasing its nuclear arsenal, reversing decades of cutbacks due to concerns about China and Russia. This transition, driven by fears of China's rapid nuclear expansion and Russia's confrontational rhetoric, suggests a shift from merely updating to actively growing its nuclear weapons. While the Biden administration continues to embrace the vision of a nuclear-free world, it recognizes that new arms control agreements are becoming less likely. The United States hopes to compel China and Russia into negotiations by demonstrating its willingness to increase nuclear capabilities if necessary.;TRUE;FALSE;FALSE;FALSE
