,id,Website,Article_URL,Headline,Claim_Date,Review_Date,Query/Keyword,Label_Website,Image_URL,Original_Claim_Website,Original_Claim_Only,Context/Label_Explanation,Text_Only_Claim,Normal_Image,AI_Generated_Image,Altered_Image,Data_Collection_Type
10,10,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36KL83M,AI-generated images falsely claimed to show bombing near Beirut airport,2024-10-20 00:00:00,2024-10-25 00:00:00,Israeli-Palestinian conflict,false,https://pbs.twimg.com/media/GaXV9qgWAAA3Pv3?format=jpg&name=large,"""A PHOTO FOR THE HISTORY BOOKS MEA airline landing in Beirut International Airport as Israeli rains fire on the airport,"" says an October 20 X post from Sulaiman Ahmed, a creator who has previously monetized misinformation about Israel's war with Hamas.","""A PHOTO FOR THE HISTORY BOOKS MEA airline landing in Beirut International Airport as Israeli rains fire on the airport."" ","A spokesperson for Middle East Airlines told AFP in an October 21 email that the images appear to be AI-generated and are ""far from reality."" A keyword search of public social media pages reveals the first handful of Instagram accounts that posted the pictures. They say the pictures were created using artificial intelligence and credit the profile south.to.north (archived here and here).",False,False,True,False,manual
11,11,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36K38U9,Hezbollah strike did not kill IDF chief Herzi Halevi,2024-10-13 00:00:00,2024-10-15 00:00:00,Israeli-Palestinian conflict,false,,"""BREAKING Initial reports confirm the assassination of Israeli Army Chief of Staff, Herzi Halevi,"" says an October 13, 2024 X post from Anastasia Maria Loupis, a Danish physician who has previously shared misinformation about the Israel-Hamas war.","""BREAKING Initial reports confirm the assassination of Israeli Army Chief of Staff, Herzi Halevi."" ","However, claims on social media that the chief of the Israeli Defense Forces (IDF) was killed in an October 13, 2024 attack on a military base are false; Herzi Halevi visited the base after the drone strike.",True,False,False,False,manual
12,12,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36J32WX,"UN top court ruled 'illegal' Israel's occupation of Palestinian territory, not Israeli state",2024-09-04 00:00:00,2024-10-09 00:00:00,Israeli-Palestinian conflict,false,,"""Breaking News: Israel has been declared an illegal state by the International Court of Justice,"" read a Malay-language post on Facebook on September 4, 2024. ""The court also ruled that Israel cannot be a sovereign state. At last, justice has prevailed.""","""Breaking News: Israel has been declared an illegal state by the International Court of Justice.""","The court had instead found Israel's decades-long occupation of Palestinian territory as unlawful and said it should come to an end ""as rapidly as possible"". The ICJ said Israel's continued occupation of Palestinian territories was against international law, in a nonbinding advisory opinion issued on July 19 on the request of the UN General Assembly. In June 1967, Israel crushed some of its Arab neighbours in a six-day war, seizing the West Bank and East Jerusalem, at the time annexed by Jordan, the Golan Heights from Syria, and the Gaza Strip and Sinai Peninsula from Egypt.",True,False,False,False,manual
13,13,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36HV7P9,"Posts falsely claim to show attack on US forces in Baghdad

",2024-09-30 00:00:00,2024-10-03 00:00:00,Israeli-Palestinian conflict,false,https://img9.irna.ir/d/r2/2024/10/01/4/171423049.jpg?ts=1727742501971,"""BREAKING: US military base comes under attack in Baghdad,"" says a September 30 X post from Sulaiman Ahmed, a creator who has monetized misinformation about Israel's war with Hamas.","""BREAKING: US military base comes under attack in Baghdad."" ","However, photos shared online do not show the strike -- they were taken years ago in the United States and the Gaza Strip and have repeatedly been used to spread misinformation. A reverse image search reveals the first picture -- a close-up view of an explosion near a building -- was taken in 2011 by photographer Tim Wynkoop for The Express-Times newspaper at a gas facility in the US state of New Jersey (archived here). ""A (sic) explosion tonight at Linde Electronics and Specialty Gas in Alpha sends a fireball into the night sky,"" the caption says. Wynkoop confirmed to AFP on October 1 that he snapped the photo in the town of Alpha, New Jersey near the Pennsylvania border. The Express-Times also said the photograph was one of its images and was taken April 26, 2011.",False,True,False,False,manual
14,14,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36GX2LD,Photo of exploded toilet in Hong Kong falsely linked to Lebanon pager blasts,2024-09-19 00:00:00,2024-09-26 00:00:00,Israeli-Palestinian conflict,false,https://cdn.i-scmp.com/sites/default/files/styles/1020x680/public/d8/images/methode/2020/01/28/7c82982e-418a-11ea-9fd9-ecfbb38a9743_image_hires_194429.jpeg?itok=OTi3iOLi&v=1580211876,"""The Lebanese Ministry of Health reported that 300 people were injured in radio explosions and nine others died,"" read an X post from September 19 written in traditional Chinese characters. ""Hezbollah operatives keep exploding across Lebanon and reporters saw militants frantically removing batteries from all radios and throwing them into trash cans and toilets.""","""The Lebanese Ministry of Health reported that 300 people were injured in radio explosions and nine others died."" ","Hong Kong toilet blast. A reverse image search on Google found the photo published by the South China Morning Post (SCMP) newspaper on January 28, 2020 (archived link). The photo is captioned: ""A suspected improvised explosive device destroyed a public toilet at the King George V Memorial Park on Jordan Road in West Kowloon on January 27"". A cleaner discovered the public toilet on fire at the park in Hong Kong's Jordan district. No injuries were reported, the SCMP said.",False,True,False,False,manual
15,15,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.367P9XU,No evidence Montreal mayor authorized pro-Palestinian traffic signs,2024-07-24 00:00:00,2024-08-06 00:00:00,Israeli-Palestinian conflict,unproven,https://i.cbc.ca/1.7274812.1721903270!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_1180/mtl-pirated-signs-20240724.jpg?im=Resize%3D780,"""So the Mayor is using taxpayer dollars to incite another October 7,"" says a July 24, 2024 X post, referencing Hamas's attack on Israel. The post includes photos of traffic warning signs broadcasting the messages ""Globalize The Intifada"" and ""Free Palestine Escalate Now."" Different accounts shared the same photos on X, Facebook and Threads, claiming the mayor or city had signed off on messages that could incite violence in Quebec's largest city. ","""So the Mayor is using taxpayer dollars to incite another October 7.""","Some news headlines implied the boards were hacked, but Nuñez told AFP the locks on the signs were broken and the words were manually entered. A July 24 Instagram post from Clash MTL and Palestine Action Montreal describes how someone diverted road signs in Montreal to display messages ""in solidarity with Palestine."" The post, whose caption says ""anonymous submission,"" includes a video showing the same slogans as those in the claims circulating online.",False,True,False,False,manual
16,16,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.368W46C,"Israeli swimmers' tribute to Gaza hostages predates Olympics

",2024-07-27 00:00:00,2024-08-05 00:00:00,Israeli-Palestinian conflict,misleading,"https://ynet-pic1.yit.co.il/cdn-cgi/image/f=auto,w=740,q=75/picserver5/crop_images/2023/11/19/Sk4M5SDET/Sk4M5SDET_18_11_1483_1933_0_x-large.jpg","""The Israeli Olympic team was not allowed to wear their yellow 'Bring Them Home' pins at the Olympic games so they decided to spell it out for the entire world to see it!"" says Rob Shuter, a UK gossip columnist, in a July 27, 2024 Facebook post with thousands of interactions.","""The Israeli Olympic team was not allowed to wear their yellow 'Bring Them Home' pins at the Olympic games so they decided to spell it out for the entire world to see it!"" ","While the picture shared online is real, it predates the Paris Olympics by eight months. A reverse image search reveals Israel's artistic swimming team posted the photo November 19, 2023 on Instagram (archived here). The caption says the picture was taken at the Wingate Institute, Israel's national sports training center outside Tel Aviv, and that it features 10 artistic swimmers. Among the athletes are Shelly Bobritsky and Ariel Nassee, who qualified for the 2024 Paris Olympics as part of the duet category (archived here and here). Israeli news outlets including the Arabic-language service of i24News reported on the team's photo in November 2023 (archived here and here). Israeli drone photographer Adam Spiegel posted the picture on Instagram the same day as the Israeli Artistic Swimming Team (archived here). Spiegel confirmed in a July 30 email that he took the original image, compiling several aerial shots of the swimmers into a composite collage. He said he was ""disappointed"" that social media users used his photo without credit and ""invented a fake news story.""",False,True,False,False,manual
17,17,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36496K2,Old Huthi attack photo falsely portrayed as 'Maersk ship on fire in July 2024',2024-07-09 00:00:00,2024-07-18 00:00:00,Israeli-Palestinian conflict,false,,"""Attack on a US-flagged vessel in the Gulf of Aden. A Spokesperson at Denmark's shipping company Maersk said: There was an attack targeted on one of the company's US-flagged vessels at the northernmost part of the Gulf of Aden,"" read the Thai-language caption to the picture shared on Facebook on July 9, 2024.","""Attack on a US-flagged vessel in the Gulf of Aden. A Spokesperson at Denmark's shipping company Maersk said: There was an attack targeted on one of the company's US-flagged vessels at the northernmost part of the Gulf of Aden."" ","But a combination of reverse image and keyword searches on Google found the picture earlier published on social media site X on the official account of the spokesperson for the Indian Navy (archived link). Its caption read in part: ""#IndianNavy's Guided missile destroyer, #INSVisakhapatnam, deployed in the #GulfofAden responded to a distress call from MV #MarlinLuanda on the night of #26Jan 24.""",True,False,False,False,manual
18,18,Reuters,https://www.reuters.com/fact-check/photo-shows-trumps-hollywood-star-damaged-2018-not-gadots-2025-2025-03-28/,"Fact Check: Photo shows Trump’s Hollywood star damaged in 2018, not Gadot’s in 2025",2025-03-20 00:00:00,2025-03-28 00:00:00,"""Gaza Fact Check""",miscaptioned,https://www.vice.com/wp-content/uploads/sites/2/2018/08/1534367591174-pickax.jpeg,"A post on Threads, opens new tab on March 20 shared a photo of a destroyed Hollywood star and said: “Gal Gadot’s star on the Hollywood Walk of Fame was destroyed just hours after being placed!”",“Gal Gadot’s star on the Hollywood Walk of Fame was destroyed just hours after being placed!”,"The image, however, was featured in multiple news reports about Trump’s star being vandalized in July 2018.",False,True,False,False,manual
19,19,Reuters,https://www.reuters.com/fact-check/ai-image-puts-trump-netanyahu-musk-one-room-2025-02-14/,"Fact Check: Fake image puts Trump, Netanyahu and Musk in one room",2025-02-03 00:00:00,2025-02-21 00:00:00,"""Gaza Fact Check""",false,https://pbs.twimg.com/media/Gi4oLqlWcAEn4r0?format=jpg&name=large,"“I love this picture of the big 3,” says the caption, of one of the social media posts sharing the image alongside emojis of the Israeli and U.S. flags.",“I love this picture of the big 3.”,"An image purporting to show President Donald Trump, Israeli Prime Minister Benjamin Netanyahu and billionaire Elon Musk posing together has been online since last year and was likely created by AI, experts say, contrary to social media posts sharing it as an authentic scene during Netanyahu’s February 2025 official visit to the U.S.",False,False,True,False,manual
20,20,Reuters,https://www.reuters.com/fact-check/no-evidence-us-spent-50-million-condoms-gaza-2025-01-30/,Fact Check: No evidence US spent $50 million on condoms for Gaza,2025-01-28 00:00:00,2025-01-30 00:00:00,"""Gaza Fact Check""",no evidence,,"Posts online, sharing a clip of Leavitt’s remarks said: “WILD: Karoline Leavitt EXPOSED that $50 MILLION in U.S. taxpayer money almost went to fund CONDOMS in Gaza before DOGE cut it.”",“WILD: Karoline Leavitt EXPOSED that $50 MILLION in U.S. taxpayer money almost went to fund CONDOMS in Gaza before DOGE cut it.”,Statements from the Trump administration saying it discovered a plan to send $50 million to fund condoms in Gaza have been denied by the humanitarian group named as the recipient and by a former U.S. official.,True,False,False,False,manual
21,21,Reuters,https://www.reuters.com/fact-check/us-unrwa-funding-already-halted-2024-not-by-trump-2025-order-2025-01-28/,"Fact Check: US UNRWA funding already halted in 2024, not by Trump 2025 order",2025-01-20 00:00:00,2025-01-28 00:00:00,"""Gaza Fact Check""",misleading,,Trump halts all funding to UNRWA,"""Trump halts all funding to UNRWA.""","But U.S. funding to UNRWA was already frozen, having been so since 2024. Former U.S. President Joe Biden, along with more than a dozen countries, stopped funding the agency in January 2024 after Israel accused 12 of its 13,000 employees of participating in the deadly Hamas attack on Israel on Oct. 7, 2023, which triggered the Gaza war.",True,False,False,False,manual
22,22,Reuters,https://www.reuters.com/fact-check/mike-tyson-did-not-pose-with-palestinian-flag-ahead-jake-paul-bout-2024-12-02/,Fact Check: Mike Tyson did not pose with Palestinian flag ahead of Jake Paul bout,2024-11-14 00:00:00,2024-12-02 00:00:00,"""Gaza Fact Check""",false,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-6/489387455_1113894850752436_9133732093621443899_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=833d8c&_nc_ohc=lJKY8MLdZEwQ7kNvwEYO_JG&_nc_oc=Adn4S7H4zJNlAlzc2arJ6AVvXj0oznCdH74deF2wNsfc4IbWhNxyusJPemo86bbuIKQ&_nc_zt=23&_nc_ht=scontent-hou1-1.xx&_nc_gid=Gdwx-2UZKYc_lLAsF8xybQ&oh=00_AfETd2TuZog7IC59cl96lYnotjhiK8zMZq-jFXHvPETLHg&oe=681E8DB1,"Social media posts, featured a photo of the 58-year-old former heavyweight champion, purportedly in the ring for his Nov. 15 fight with Jake Paul, wearing the Palestinian flag draped on his shoulders and captioned: ""Mike Tyson poses with the Palestinian flag before his historic fight.""","""Mike Tyson poses with the Palestinian flag before his historic fight.""","However, a spokesperson for Tyson said in an email that the posts suggesting Tyson displayed a Palestinian flag before the Nov. 15 fight at AT&T Stadium in Arlington, Texas fight were false.
Reuters reviewed the live stream of the Netflix-hosted event and found no images of Tyson displaying the flag.
A Netflix spokesperson also said the images are fake, and declined to comment further.
Among the signs the image was probably AI-generated are the changed position of Tyson’s face tattoo, incoherent text on the shorts and the missing chest tattoo, deepfake experts Siwei Lyu at the State University of New York at Buffalo and Shahroz Tariq at the Commonwealth Scientific and Industrial Research Organisation told Reuters.",False,False,True,False,manual
23,23,Reuters,https://www.reuters.com/fact-check/guardian-headline-gaza-becoming-city-rivalling-bradford-is-fake-2024-11-27/,"Fact Check: Guardian headline on Gaza becoming a city rivalling Bradford is fake 
",2024-11-23 00:00:00,2024-11-27 00:00:00,"""Gaza Fact Check""",false,,"Shared on Facebook, the screenshot mimics the layout and style of an opinion column in The Guardian newspaper. The headline reads: “Gaza will rise from the ashes to become a city of the future to rival Bradford.”",“Gaza will rise from the ashes to become a city of the future to rival Bradford.”,"A spokesperson for The Guardian said in an email to Reuters that neither the article nor the headline was ever published by the newspaper.
Begum’s spokesperson said in a separate email that the screenshot is not authentic “but a false slur”.
No such headline could be found on The Guardian’s website, opens new tab and a list of contributors, opens new tab on The Guardian’s website does not feature Begum’s name.",True,False,False,False,manual
24,24,Reuters,https://www.reuters.com/fact-check/unrwa-added-black-ribbon-its-logo-2023-not-after-sinwars-death-2024-10-24/,"Fact Check: UNRWA added black ribbon to its logo in 2023, not after Sinwar’s death",2024-10-18 00:00:00,2024-10-24 00:00:00,"""Gaza Fact Check""",misleading,https://pbs.twimg.com/media/GaIg1KHXUAA4Pl9?format=jpg&name=medium,"Social media accounts shared, a photo of the United Nations Relief and Works Agency for Palestinian Refugees (UNRWA) logo with the black ribbon, on Oct. 18, 2024. One user said, “UNRWA has placed a black band over its profile photo in mourning for the death of the ‘Butcher of Khan Younis’ Yahya Sinwar. They’re not even trying to hide their affiliation with Hamas anymore.”","""UNRWA has placed a black band over its profile photo in mourning for the death of the 'Butcher of Khan Younis' Yahya Sinwar.""",Misleading. The black ribbon on the UNRWA logo predates Sinwar's death. It was added to the profile picture in October 2023 in solidarity with the relief agency's workers killed in Gaza.,False,True,False,False,manual
25,25,Reuters,https://www.reuters.com/fact-check/fabricated-report-says-starmer-announced-uk-israel-boycott-2024-10-14/,Fact Check: Fabricated report says Starmer announced UK Israel boycott,2024-10-06 00:00:00,2024-10-14 00:00:00,"""Gaza Fact Check""",false,,"Social media accounts published identical text, on Oct. 6: “BREAKING NEWS UK PM… keir Starmer says that UK will boycott all diplomatic relations with Israel due to its long lasting war in Gaza.”",“BREAKING NEWS UK PM… keir Starmer says that UK will boycott all diplomatic relations with Israel due to its long lasting war in Gaza.”,There were no credible reports of Starmer saying the UK would cease relations with Israel by Oct. 14.,True,False,False,False,manual
