,id,Website,Article_URL,Headline,Claim_Date,Review_Date,Query/Keyword,Label_Website,Image_URL,Original_Claim_Only,Context/Label_Explanation,Text_Only_Claim,Normal_Image,AI_Generated_Image,Altered_Image
17,17,leadstories.com,https://leadstories.com/hoax-alert/2025/04/fact-check-eminem-israel-june-2025.html,Fact Check: Eminem Did NOT Announce a Concert in Israel for June 2025,2025-04-10T12:27:29Z,2025-04-10T12:27:29Z,Israel,Fake Poster,,The rapper Eminem announced in April 2025 that he would hold a concert in Israel in June.,,,,,
18,18,misbar.com,https://www.misbar.com/en/factcheck/2025/04/03/iranian-general-esmail-qaani-did-not-flee-israel,Iranian General Esmail Qaani Did Not Flee to Israel,2025-04-03T00:11:14Z,2025-04-03T00:11:14Z,Israel,fake,,Breaking: Iran's IRGC Quds Force commander Gen. Esmail Qaani is confirmed safe in Israel.,,,,,
19,19,misbar.com,https://www.misbar.com/en/factcheck/2025/03/19/outdated-photo-shows-aftermath-israeli-airstrike-lebanon-not-gaza,"Outdated Photo Shows Aftermath of Israeli Airstrike on Lebanon, Not Gaza",2025-03-19T13:06:59Z,2025-03-19T13:06:59Z,Israel,misleading,,At least four Palestinians were killed in a heavy Israeli bombardment on Deir al-Balah in the southern Gaza Strip.,,,,,
20,20,leadstories.com,https://leadstories.com/hoax-alert/2025/03/fact-check-mentions-of-israel-were-not-the-only-thing-cia-requested-to-be-redacted-in-jfk-files.html,Fact Check: Mentions of Israel Were NOT 'The Only Thing' CIA Has Requested To Be Redacted In JFK Files,2025-03-19T17:24:41Z,2025-03-19T17:24:41Z,Israel,More Items,,Only mentions of Israel were marked by the CIA for redaction in JFK files,,,,,
21,21,misbar.com,https://www.misbar.com/en/factcheck/2025/03/05/image-does-not-show-zelenskyy-signing-bombs-gaza,This Image Does Not Show Zelenskyy Signing Bombs for Gaza,2025-03-05T13:43:12Z,2025-03-05T13:43:12Z,Israel,misleading,,"Ukrainian President Volodymyr Zelenskyy signing bombs, claiming he was signing Israeli bombs intended for use against Palestinians in Gaza.",,,,,
22,22,misbar.com,https://www.misbar.com/en/factcheck/2025/03/04/erdogan-did-not-urge-us-control-israel-over-syria-conflict,Erdogan Did Not Urge U.S. To Control Israel Over Syria Conflict,2025-03-04T12:40:20Z,2025-03-04T12:40:20Z,Israel,fake,,"A statement attributed to Turkey's President Erdogan, allegedly warning Israel",,,,,
23,23,misbar.com,https://www.misbar.com/en/factcheck/2025/03/01/image-2021-israeli-airstrike-gaza-shared-recent-israeli-bombing-syria,Image of 2021 Israeli Airstrike on Gaza Shared as Recent Israeli Bombing in Syria,2025-03-01T11:41:50Z,2025-03-01T11:41:50Z,Israel,misleading,,"NOW: Israel is violently bombing the surroundings of Southern Damascus, destroying its last remaining army depots.",,,,,
24,24,misbar.com,https://www.misbar.com/en/factcheck/2025/02/27/photo-not-related-israeli-forces%E2%80%99-recent-incursion-southern-syria,This Photo Is Not Related To Israeli Forces’ Recent Incursion Into Southern Syria,2025-02-27T11:57:46Z,2025-02-27T11:57:46Z,Israel,misleading,,"Israeli occupation forces enter the town of Tasil in the countryside of Daraa on foot. While in the Muhajireen area in Homs, Al-Jolani elements arrest dozens of young men.",,,,,
25,25,misbar.com,https://www.misbar.com/en/factcheck/2025/02/22/hamas-did-not-hand-over-coffins-incorrect-keys,Hamas Did Not Hand Over Coffins with Incorrect Keys,2025-02-22T13:04:57Z,2025-02-22T13:04:57Z,Israel,misleading,,Hamas returned the hostages bodies to Israel in locked coffins with keys that do not open them.,,,,,
26,26,misbar.com,https://www.misbar.com/en/factcheck/2025/02/10/israel%E2%80%99s-channel-14-was-not-hacked-egyptian-hacker,Israel’s Channel 14 Was Not Hacked by an Egyptian Hacker,2025-02-10T13:03:56Z,2025-02-10T13:03:56Z,Israel,fake,,Israeli channel was hacked by an Egyptian hacker.,,,,,
27,27,checkyourfact.com,https://checkyourfact.com/2025/02/06/fact-check-iron-dome-intercept-ballistic-missiles/,FACT CHECK: Does The Iron Dome Intercept 90% Of Ballistic Missiles?,2025-01-28T00:00:00Z,2025-02-06T18:16:13Z,Israel,Unsubstantiated,,NewsNation and the New York Post reported that the Iron Dome intercepted 90% of ballistic missiles fired at Israel.,,,,,
28,28,misbar.com,https://www.misbar.com/en/factcheck/2025/02/05/image-of-israeli-pm-netanyahu-with-trump-and-musk-is-ai-generated,Image of Israeli PM Netanyahu With Trump and Musk Is AI-Generated,2025-02-05T12:29:04Z,2025-02-05T12:29:04Z,Israel,fake,,A dangerous photo of Israeli Prime Minister Benjamin Netanyahu with US President Trump and Elon Musk!,,,,,
29,29,misbar.com,https://www.misbar.com/en/factcheck/2025/01/27/photo-of-vegetables-shelved-on-a-tank-is-from-syria-not-gaza,"Photo of Vegetables Shelved on a Tank Is from Syria, Not Gaza",2025-01-27T15:59:58Z,2025-01-27T15:59:58Z,Israel,misleading,,"A vegetable stand in #Gaza with a Merkava tank, the pride of the Israeli army, as its decor.",,,,,
30,30,thip.media,https://www.thip.media/health-news-fact-check/is-israeli-pm-netanyahu-suffering-from-prostate-cancer/97476/,Fact Check: Is Israeli PM Netanyahu suffering from prostate cancer?,2025-01-08T18:30:00Z,2025-01-09T05:49:56Z,Israel,False,,Israeli PM Netanyahu is suffering from prostate cancer,,,,,
31,31,usatoday.com,https://www.usatoday.com/story/news/factcheck/2024/12/13/new-york-times-headline-luigi-mangione-anti-israeli-fact-check/76965562007/,New York Times didn't publish 'anti-Israeli' headline about Luigi ...,2024-12-13T00:00:00Z,2024-12-13T23:25:47Z,Israel,Altered,,Image shows headline calling 'glorification' of CEO shooter ‘anti-Israeli’,,,,,
32,32,ndtv.com,https://www.ndtv.com/world-news/were-israeli-tanks-spotted-outside-damascus-a-fact-check-7224391,Were Israeli Tanks Spotted Outside Damascus? A Fact Check,2024-12-11T11:57:09Z,2024-12-11T11:57:09Z,Israel,False,,Were Israeli Tanks Spotted Outside Damascus? A Fact Check,,,,,
33,33,newsmeter.in,https://newsmeter.in/fact-check/israeli-tanks-spotted-outside-damascus-no-image-is-from-gaza-in-2023-740432,"Fact Check: Israeli tanks spotted outside Damascus? No, image is ...",2024-12-11T05:16:17Z,2024-12-11T05:16:17Z,Israel,False,,The image shows the Israeli army reaching Damascus in Syria.,,,,,
34,34,factly.in,https://factly.in/an-image-of-15-year-old-diaa-al-adini-injured-in-an-august-2024-israeli-strike-is-being-falsely-shared-as-a-hamas-militant/,"Photo of 15-year-old Diaa Al-Adini, injured in an August 2024 Israeli ...",2024-11-10T00:00:00Z,2024-11-11T00:00:00Z,Israel,FALSE,,"Photo Mohammad Mahroof, a Hamas militant from Gaza, accused of killing Israeli children in 2023. In 2024, Israel caught and disarmed him and left him alive.",,,,,
35,35,misbar.com,https://www.misbar.com/en/factcheck/2024/10/29/old-scenes-recirculate-allegedly-showing-a-drone-strike-on-israeli-soldiers-dining-at-a-military-base,"Old Scenes Recirculate, Allegedly Showing a Drone Strike on Israeli Soldiers Dining at a Military Base",2024-10-29T21:09:08Z,2024-10-29T21:09:08Z,Israel,misleading,,A drone strikes dining israeli soldiers/,,,,,
36,36,newsmeter.in,https://newsmeter.in/fact-check/no-yair-netanyahu-was-not-assassinated-in-drone-attack-on-israeli-pms-home-737767,"Fact Check: No, Yair Netanyahu was not assassinated in drone attack on Israeli PM’s home",2024-10-21T12:08:42Z,2024-10-21T12:08:42Z,Israel,False,,"Netanyahu’s son Yair was killed in a drone attack that targeted the Israeli PM’s home in Caesarea, Israel.",,,,,
37,37,misbar.com,https://www.misbar.com/en/factcheck/2024/10/15/this-image-shows-tents-engulfed-in-flames-after-an-israeli-airstrike-not-the-aftermath-of-an-iranian-attack-on-israel,"This Image Shows Tents Engulfed in Flames After an Israeli Airstrike, Not the Aftermath of an Iranian Attack on Israel",2024-10-15T13:06:19Z,2024-10-15T13:06:19Z,Israel,misleading,,BREAKING: The UK has announced sanctions against several Iranian senior military figures and organisations following Iran's multiple rocket attack on Israel on 1 October.,,,,,
38,38,factchecker.gr,https://www.factchecker.gr/2024/10/10/did-israeli-warplanes-deliberately-bomb-the-french-totalenergies-facilities-in-beirut/,Has Israel deliberately targeted French multinational company ...,2024-10-06T00:00:00Z,2024-10-10T00:00:00Z,Israel,DISINFORMATION,,Israel has targeted *FRENCH* Multinational Company TotalEnergies gas station in Beirut. This comes after Emmanuel Macron BANNED military aid to Israel.,,,,,
39,39,logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/fake-quote-about-israel-attributed-to-actor-mel-gibson,Fake quote about Israel attributed to Mel Gibson,2024-10-07T00:00:00Z,2024-10-09T00:00:00Z,Israel,Fake,,Mel Gibson shared a social media post stating Israel will end soon,,,,,
40,40,checkyourfact.com,https://checkyourfact.com/2024/10/08/fact-check-did-israel-just-have-an-earthquake/,FACT CHECK: Did Israel Just Have An Earthquake?,2024-10-05T00:00:00Z,2024-10-08T17:05:49Z,Israel,False,,A post made on X claims that Israel experienced an earthquake on October 5th.,,,,,
41,41,youturn.in,https://youturn.in/factcheck/israel-military-soldier-death-falsely-linked-with-hezbolla.html,Youturn | fact check,2024-10-04T00:00:00Z,2024-10-08T00:00:00Z,Israel,false,,"போரில் உயிர் நீத்த இஸ்ரேல் நாட்டு இராணுவ வீரர்கள் உடல் அடக்கம் செய்யப்பட்டது. ""வினை விதைத்தால் அதை அறுவடை செய்தே ஆகவேண்டும்""",,,,,
42,42,misbar.com,https://www.misbar.com/en/factcheck/2024/10/06/netanyahu-did-not-flee-to-poland-amid-irans-attack,Netanyahu Did Not Flee to Poland Amid Iran's Attack,2024-10-06T09:16:13Z,2024-10-06T09:16:13Z,Israel,fake,,Netanyahu lifted off out of Israel abandoning his people to Irans ballistic missiles.,,,,,
43,43,voanews.com,https://www.voanews.com/a/iran-propagates-israel-s-response-to-houthi-attacks-as-war-crimes-/7808750.html,Iran propagates Israel’s response to Houthi attacks as ‘war crimes’,2024-10-03T07:55:31Z,2024-10-03T07:55:31Z,Israel,Misleading,,“The Zionist regime’s move to attack Yemen and the country’s civilian and service infrastructure is a blatant and repeated violation of the United Nations Charter.”,,,,,
44,44,indiatvnews.com,https://www.indiatvnews.com/fact-check/fact-check-did-hezbollah-chief-nasrallah-break-down-after-israel-airstrikes-on-lebanon-know-truth-misleading-claim-latest-updates-2024-09-28-954429,Fact Check: Did Hezbollah chief Nasrallah break down after Israel's ...,2024-09-28T00:00:00Z,,Israel,Misleading,,Fact Check: Did Hezbollah chief Nasrallah break down after Israel's airstrikes on Lebanon? Know truth,,,,,
45,45,misbar.com,https://www.misbar.com/en/factcheck/2024/09/26/this-photo-of-ramat-david-is-ai-generated,This Photo Of Ramat David Is AI-Generated,2024-09-26T19:43:07Z,2024-09-26T19:43:07Z,Israel,fake,,Despite strict military censorship in Israel A photo of the Ramat David base that was attacked by Hezbollah at dawn today was leaked - unconfirmed. Israel does not acknowledge that anything happened at this air base. This base is the largest Israeli air base in the north and center of the country. ETReport,,,,,
46,46,en.youturn.in,https://en.youturn.in/factcheck/The-video-showingexplosion-in-oil-refinery-is-from-Russia-Ukraine-war.html,Russia-Ukraine drone attack is falsely shared as from the re...,2024-09-23T00:00:00Z,2024-09-25T00:00:00Z,Israel,false,,“Israeli” media: Hezbollah drone reaches oil refineries in the north of occupied Palestine,,,,,
47,47,misbar.com,https://www.misbar.com/en/factcheck/2024/09/17/photo-of-israeli-coffins-is-from-a-staged-funeral-representing-hostages-killed-in-gaza,Photo of Israeli Coffins Is From a Staged Funeral Representing ...,2024-09-17T16:00:37Z,2024-09-17T16:00:37Z,Israel,misleading,,"BREAKING: 22 dead and 74 injured among Israels Unit 8200 in Hezbollahs 25 August retaliation, European security sources tell Al-Mayadeen. Iron dome failed by Hezbollah missiles.",,,,,
48,48,misbar.com,https://www.misbar.com/en/factcheck/2024/09/16/old-photo-shows-execution-of-individual-accused-of-collaborating-with-israel-in-tulkarm-not-gazarsquos-al-nuseirat,"Old Photo Shows Execution of Individual Accused of Collaborating with Israel in Tulkarm, Not Gaza’s Al-Nuseirat",2024-09-16T14:53:54Z,2024-09-16T14:53:54Z,Israel,misleading,,"According to local sources, a spy for the Israelis was executed by firing squad in Al-Nuseirat camp in central Gaza Strip.",,,,,
49,49,usatoday.com,https://www.usatoday.com/story/news/factcheck/2024/09/13/us-israel-other-countries-with-911-memorials-fact-check/75209435007/,More than a dozen countries have 9/11 memorials | Fact check,2024-09-11T00:00:00Z,2024-09-13T21:28:48Z,Israel,False,,Israel is the only country outside the US with a 9/11 memorial,,,,,
50,50,politifact.com,https://www.politifact.com/article/2024/sep/11/2024-presidential-debate-fact-check-harris-trump/,Fact-checking Harris and Trump’s first presidential debate,2024-09-10T00:00:00Z,2024-09-11T14:37:20Z,Israel,Half True,,"Kamala Harris ""wouldn't even meet with (Israeli Prime Minister Benjamin) Netanyahu when he went to Congress to make a very important speech. She refused to be there 'cause she was at a sorority party of hers.""",,,,,
51,51,thequint.com,https://www.thequint.com/news/webqoof/old-image-from-kochi-shared-as-massive-protest-against-israel-fact-check,"Fact-Check: Does This Image Show A Massive Protest Against Israel in Kerala? No, Claim is False!",2024-09-05T07:17:02Z,2024-09-05T07:17:02Z,Israel,False,,"Image shows a huge protest against Israel in Kochi, Kerala.",,,,,
52,52,misbar.com,https://www.misbar.com/en/factcheck/2024/08/26/this-image-does-not-show-bezalel-smotrich-taking-shelter-following-the-recent-hezbollah-attack,This Image Does Not Show Bezalel Smotrich Taking Shelter Following the Recent Hezbollah Attack,2024-08-26T08:18:31Z,2024-08-26T08:18:31Z,Israel,misleading,,"Israeli Finance Minister Smotrich, who previously threatened to invade Lebanon, was found today taking shelter in Israeli bomb shelter.",,,,,
53,53,misbar.com,https://www.misbar.com/en/factcheck/2024/09/19/photo-of-barcelona-president-with-israeli-representatives-predates-gaza-war,Photo of Barcelona President with Israeli Representatives Predates ...,2024-09-19T11:08:13Z,2024-09-19T11:08:13Z,Israel,misleading,,FC Barcelona stands with Jewish terrorists and murder of civilians.,,,,,
54,54,logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/false-no-this-photo-of-netanyahu-s-home-was-not-taken-by-a-hezbollah-drone,"No, this photo of Netanyahu's home was not taken by a Hezbollah drone",2024-08-18T00:00:00Z,2024-08-21T00:00:00Z,Israel,False,,Social media users sharing a photo of Israeli PM Benjamin Netanyahu's house claiming that the photo was taken by Hezbollah,,,,,
55,55,leadstories.com,https://leadstories.com/hoax-alert/2024/08/fact-check-fake-photo-shows-five-dancing-israelis-on-september-11-2001-world-trade-center-attacks.html,"Fact Check: FAKE Photo Shows 'Five Dancing Israelis' On September 11, 2001, World Trade Center Attacks",2024-08-21T21:13:00Z,2024-08-21T21:13:00Z,Israel,AI Generated,,Photo Shows Five Dancing Israelis On The Day Of The September 11 2001 US Attacks,,,,,
56,56,misbar.com,https://www.misbar.com/en/factcheck/2024/08/20/this-photo-does-not-depict-netanyahursquos-home-captured-by-hezbollah-drone,This Photo Does Not Depict Netanyahu’s Home Captured by Hezbollah Drone,2024-08-20T09:39:20Z,2024-08-20T09:39:20Z,Israel,misleading,,"Netanyahu's home in Caesarea, Israel, was captured by a drone belonging to Lebanese Hezbollah.",,,,,
57,57,newsmobile.in,https://www.newsmobile.in/nm-fact-checker/fact-check-image-of-aircraft-carrier-falsely-claim-to-show-us-support-for-israel-in-red-sea/,Fact Check: Image of Aircraft Carrier Falsely Claim To Show US’ Support For Israel In Red Sea,2024-08-06T00:00:00Z,2024-08-12T00:00:00Z,Israel,Misleading,,U.S. aircraft carrier in the Red Sea to support Israel amidst tensions with Hezbollah,,,,,
58,58,misbar.com,https://www.misbar.com/en/factcheck/2024/08/08/israeli-channel-12-news-did-not-conduct-a-poll-on-allowing-soldiers-to-rape-prisoners,Israeli Channel 12 News Did Not Conduct a Poll on Allowing Soldiers to Rape Prisoners,2024-08-08T13:08:31Z,2024-08-08T13:08:31Z,Israel,fake,,Israel's Channel 12 asked a question in an Israeli public opinion poll: Do you agree with the claim that a soldier is allowed to rape a prisoner with his hands tied?,,,,,
59,59,checkyourfact.com,https://checkyourfact.com/2024/08/07/fact-check-no-photo-does-not-show-building-where-hamas-chief-was-assassinated/,"FACT CHECK: No, Photo Does Not Show Building Where Hamas Chief Was Assassinated",2024-07-31T00:00:00Z,2024-08-07T14:37:14Z,Israel,False,,A photo shared on Facebook claims to show a damaged building where Hamas Chief Ismail Haniyeh was assassinated by an Israeli strike.,,,,,
60,60,logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/false-unrelated-image-shared-as-u-s-warships-heading-to-lebanon-to-support-idf,Unrelated image shared as U.S. warships heading to Lebanon to 'support IDF',2024-08-02T00:00:00Z,2024-08-07T00:00:00Z,Israel,False,,U.S. warships are en route to the Lebanon coast to support Israel Defense Forces (IDF),,,,,
61,61,misbar.com,https://www.misbar.com/en/factcheck/2024/08/06/hezbollah-did-not-capture-an-image-of-netanyahu-inside-his-office,Hezbollah Did Not Capture an Image of Netanyahu Inside His Office,2024-08-06T08:40:14Z,2024-08-06T08:40:14Z,Israel,fake,,Lebanese Hezbollah captures and publishes a photo of the Israeli Prime Minister inside his office with a message: Do not test our capabilities. We intend to keep you in a state of anxiety!,,,,,
62,62,indiatoday.in,https://www.indiatoday.in/fact-check/story/fact-check-old-karate-contest-photo-shared-egyptians-raising-palestinian-flag-paris-olympics-2577123-2024-08-05,Fact Check: Old Karate contest photo shared as Palestine flag raised at Paris Olympics,2024-08-05T00:00:00Z,,Israel,False,,Egyptian karate players raised the Palestinian flag after defeating Israel in the ongoing Paris Olympics.,,,,,
63,63,logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/fake-viral-image-of-iranian-brigadier-general-esmail-qaani-in-a-burqa-is-edited,Viral image of Iranian Brigadier General Esmail Qaani in a burqa is edited,2024-08-03T00:00:00Z,2024-08-05T00:00:00Z,Israel,Fake,,"Esmail Qaani, the commander of the Iranian Revolutionary Guards, disguised in women’s clothing in fear of Israeli bombing.",,,,,
64,64,misbar.com,https://www.misbar.com/en/factcheck/2024/08/04/no-evidence-israel-tracked-ismail-haniyeh-via-whatsapp-spyware-to-drone-strike-him,No Evidence Israel Tracked Ismail Haniyeh via WhatsApp Spyware to Drone Strike Him,2024-08-04T11:44:45Z,2024-08-04T11:44:45Z,Israel,fake,,Israeli intelligence tracked Hamas leader Ismail Haniyeh through WhatsApp.,,,,,
65,65,newsmobile.in,https://www.newsmobile.in/nm-fact-checker/fact-check-edited-picture-of-israeli-contingent-from-2024-olympics-opening-ceremony-shared/,Fact Check: Edited Picture Of Israeli Contingent From 2024 Olympics Opening Ceremony Shared,2024-08-01T00:00:00Z,2024-08-02T00:00:00Z,Israel,Edited Picture,,Picture of Israeli team during 2024 Paris Olympics opening ceremony with 'Team Genocide' Banner,,,,,
66,66,usatoday.com,https://www.usatoday.com/story/news/factcheck/2024/07/30/algerian-disqualified-from-olympic-match-israel-fact-check/74589378007/,"Algerian disqualified from Olympic match, didn't withdraw | Fact check",2024-07-28T00:00:00Z,2024-07-30T16:25:24Z,Israel,False,,Algerian athlete withdrew from Olympics before match against Israeli opponent,,,,,
67,67,misbar.com,https://www.misbar.com/en/factcheck/2024/07/24/old-photo-of-gaza-rocket-strike-on-israel-resurfaces-amid-yemen-israel-escalation,Old Photo of Gaza Rocket Strike on Israel Resurfaces Amid Yemen-Israel Escalation,2024-07-24T18:36:30Z,2024-07-24T18:36:30Z,Israel,misleading,,"A photo shows the aftermath of a Houthi attack on Tel Aviv, Israel.",,,,,
68,68,misbar.com,https://www.misbar.com/en/factcheck/2024/07/23/this-image-of-a-child-under-the-rubble-is-not-from-gaza,This Image of a Child Under the Rubble Is Not from Gaza,2024-07-23T16:26:57Z,2024-07-23T16:26:57Z,Israel,misleading,,PALESTINIAN CHILD STUCK UNDER THE RUBBLE AFTER ISRAELI AIRSTRIKE,,,,,
69,69,misbar.com,https://www.misbar.com/en/factcheck/2024/07/23/old-photo-of-crowded-ben-gurion-airport-resurfaces-after-houthis-drone-attack-on-israel,Old Photo of Crowded Ben Gurion Airport Resurfaces After Houthis' Drone Attack on Israel,2024-07-23T15:23:43Z,2024-07-23T15:23:43Z,Israel,misleading,,A photo shows Israelis fleeing the airport after the Houthis attack.,,,,,
70,70,misbar.com,https://www.misbar.com/en/factcheck/2024/07/20/2018-photo-of-suffocated-girls-from-syria-resurfaces-in-relation-to-gaza-war,2018 Photo of Suffocated Girls from Syria Resurfaces in Relation to Gaza War,2024-07-20T18:55:05Z,2024-07-20T18:55:05Z,Israel,misleading,,"This photo was taken in Gaza. She was holding her sister's oxygen mask inside the ambulance. She had already passed away, yet her hand remained on the mask firmly. Look what did Israel America Taxpayer with them.",,,,,
71,71,logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/false-no-photo-doesn-t-show-gaza-man-holding-hand-of-son-killed-in-israeli-bombing,"No, photo doesn’t show Gaza man holding hand of son killed in Israeli bombing",2024-07-14T00:00:00Z,2024-07-16T00:00:00Z,Israel,False,,This photo shows a man from Gaza holding the hand of his son killed in an Israeli bombing.,,,,,
